,"w=0.7,a1=a2=2"
0,274.59124457324816
1,204.09340257127877
2,193.45438521465857
3,181.87391273136333
4,170.52537653943497
5,167.7018023695195
6,164.3286137913844
7,155.55806153107886
8,151.2806384633919
9,147.1524183812043
10,145.35573736637653
11,142.50655212385627
12,142.50655212385627
13,139.10148068467964
14,135.09503170689905
15,134.7232754810316
16,126.36136885280638
17,122.43830135225252
18,122.36010975216433
19,120.53938966977186
20,119.8284537847309
21,119.7337639364839
22,119.7337639364839
23,119.7337639364839
24,118.69831754982627
25,117.65679572884001
26,117.30052067397625
27,116.74845148925115
28,116.41966132893054
29,116.04583581413802
30,115.41838966985043
31,114.76891795770688
32,114.76891795770688
33,114.19677856109656
34,113.92838861354363
35,113.59120390710527
36,110.99005902962098
37,109.5976801479645
38,107.7311557214279
39,107.7311557214279
40,106.78605502068766
41,105.20262461363498
42,103.84396940379386
43,102.99375388414052
44,102.57629011525509
45,102.34720688922185
46,101.38507364271734
47,100.77165086712758
48,100.6597082560556
49,100.6597082560556
50,100.6597082560556
51,100.6597082560556
52,100.6597082560556
53,99.8425984447235
54,99.16838546515916
55,98.94389827537391
56,98.14324756026227
57,98.14324756026227
58,97.59228187601266
59,96.26859592473933
60,96.26859592473933
61,93.4426130524556
62,93.3151981998016
63,92.50479361231537
64,91.74991241921313
65,91.4723466621267
66,90.1272332950222
67,89.70371178491196
68,89.5326693125964
69,89.5326693125964
70,87.71681207528438
71,87.71681207528438
72,86.77787894281875
73,86.77787894281875
74,86.77787894281875
75,86.77787894281875
76,85.61093727464876
77,85.61093727464876
78,85.61093727464876
79,83.91340284057524
80,83.91340284057524
81,83.70424525732051
82,83.16884107763462
83,82.31649464493444
84,82.15854865251089
85,80.97334504613076
86,80.70393724798272
87,80.59863448854951
88,80.59863448854951
89,80.06805900308926
90,79.92672587648937
91,79.92672587648937
92,79.40663794394936
93,78.4163235899217
94,78.4163235899217
95,78.4163235899217
96,78.4163235899217
97,78.40564356584824
98,78.40564356584824
99,77.4679490202142
100,77.06349286316035
101,77.06349286316035
102,76.91731501909054
103,76.30175179293157
104,76.30175179293157
105,75.28703253152997
106,75.1590996962477
107,74.90705954935824
108,74.90705954935824
109,74.80143556348271
110,74.80143556348271
111,74.18090668960146
112,73.76334754205203
113,73.52779244802008
114,73.45981916962623
115,73.03839253562973
116,72.43198186045463
117,72.2724926858641
118,72.2724926858641
119,72.18784415355887
120,72.03342271001414
121,72.03342271001414
122,72.03342271001414
123,71.81141658409067
124,71.81141658409067
125,71.65434678113505
126,71.49887947631277
127,70.17010631500393
128,70.0085785354643
129,69.97359636980413
130,68.42144504431384
131,68.42144504431384
132,67.39231704627197
133,66.78097927424386
134,66.63373290526809
135,66.25037993813798
136,66.25037993813798
137,65.88336101036013
138,65.88336101036013
139,65.88336101036013
140,65.88336101036013
141,65.88336101036013
142,65.88336101036013
143,65.88336101036013
144,65.88336101036013
145,65.70292698946739
146,65.3728231420841
147,64.88059221568145
148,64.88059221568145
149,64.88059221568145
150,64.88059221568145
151,64.88059221568145
152,64.88059221568145
153,64.88059221568145
154,64.88059221568145
155,64.88059221568145
156,64.69764870691743
157,64.69764870691743
158,64.48877513222149
159,64.48877513222149
160,64.45743319003654
161,64.1652336313577
162,64.1652336313577
163,64.15216869274789
164,64.15216869274789
165,64.11070641587534
166,64.11070641587534
167,64.11070641587534
168,64.11070641587534
169,64.11070641587534
170,64.11070641587534
171,64.11070641587534
172,64.01530231404637
173,64.01530231404637
174,64.01530231404637
175,64.01530231404637
176,64.01530231404637
177,64.01530231404637
178,63.942011207649706
179,63.942011207649706
180,63.942011207649706
181,63.942011207649706
182,63.942011207649706
183,63.942011207649706
184,63.942011207649706
185,63.900333122539344
186,63.643124383027526
187,63.643124383027526
188,63.36607851264268
189,63.36607851264268
190,63.36607851264268
191,63.36607851264268
192,63.36607851264268
193,63.36607851264268
194,63.36607851264268
195,62.73532167627254
196,62.73532167627254
197,62.73532167627254
198,62.73532167627254
199,62.73532167627254
200,62.73532167627254
201,62.73532167627254
202,62.73532167627254
203,62.73532167627254
204,62.73532167627254
205,62.73532167627254
206,62.73532167627254
207,62.73532167627254
208,62.73532167627254
209,62.725084648656804
210,62.725084648656804
211,62.725084648656804
212,62.725084648656804
213,62.725084648656804
214,62.416487243575645
215,62.416487243575645
216,62.416487243575645
217,62.416487243575645
218,62.416487243575645
219,62.416487243575645
220,62.19021693559291
221,62.19021693559291
222,62.19021693559291
223,62.19021693559291
224,61.97754287873371
225,61.97754287873371
226,61.97754287873371
227,61.50267025355018
228,61.50267025355018
229,60.80232570666761
230,60.80232570666761
231,60.58512217133594
232,60.58512217133594
233,60.56621098895236
234,60.56621098895236
235,60.56621098895236
236,60.56621098895236
237,60.56621098895236
238,60.56621098895236
239,60.56621098895236
240,60.56621098895236
