,"w=0.7,a1=1.6,a2=0.6"
0,38.87419272427351
1,34.379553939374745
2,31.91742914328338
3,29.617366063735357
4,26.472585442726142
5,24.363788539295157
6,22.807778426133495
7,21.128940335414597
8,20.430952795632873
9,19.538845236714778
10,18.332603326143463
11,17.9701189057318
12,17.53786629133039
13,16.52242612433662
14,15.680234239885468
15,14.818196868749276
16,14.46654810847487
17,13.754539202782588
18,13.326070596852544
19,12.635931832997013
20,12.266164212155244
21,11.612424614571433
22,11.425394795192226
23,11.267067947016594
24,10.855321837679401
25,10.513576412972226
26,10.216248054815695
27,9.782733193015211
28,9.715498770030187
29,9.383825449363242
30,9.06317598789639
31,9.051565895712903
32,8.721465838067097
33,8.721465838067097
34,8.480912656838031
35,8.215558940709615
36,8.066623373382118
37,8.066623373382118
38,7.780473400288572
39,7.780473400288572
40,7.780473400288572
41,7.631646047323029
42,7.443214588871628
43,7.34952179555469
44,7.125426766778656
45,7.125426766778656
46,7.028585447130456
47,6.9864972163587655
48,6.890248980531919
49,6.783115761797006
50,6.700250748767446
51,6.453001138260761
52,6.258603894474275
53,6.111584093166389
54,6.061233989374559
55,5.9864029669602
56,5.9864029669602
57,5.9864029669602
58,5.979298153299366
59,5.939139023073746
60,5.896805667969754
61,5.8274701347332085
62,5.544375619088308
63,5.544375619088308
64,5.544375619088308
65,5.421952651871494
66,5.388081622068656
67,5.381700823541183
68,5.381700823541183
69,5.381700823541183
70,5.381700823541183
71,5.361154872209393
72,5.361154872209393
73,5.2733657057190415
74,5.213907226716406
75,5.204399531865891
76,5.197652230044089
77,5.17163361014189
78,5.1104099658026
79,5.1089296054196165
80,5.103847035804266
81,5.062604444044326
82,4.792030745083039
83,4.7765370098335875
84,4.726431481598085
85,4.71891628224837
86,4.715441674338425
87,4.715441674338425
88,4.715441674338425
89,4.715441674338425
90,4.651598609371047
91,4.651598609371047
92,4.550377345330544
93,4.550377345330544
94,4.550377345330544
95,4.550377345330544
96,4.550377345330544
97,4.550377345330544
98,4.550377345330544
99,4.512585228756846
100,4.468507374146569
101,4.4599029382613065
